subjectnum;order;blockedormixed;condition;testtrial;faceorword;wordonleft;wordonright;faceonleft;faceonright;responsekey;accuracy;RT;studytrial;testbin;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;88,00;0,00;;;179,00;128,00;2,00;0,00;1,85;89,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;89,00;0,00;;;54,00;15,00;1,00;0,00;4,03;29,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;90,00;0,00;;;17,00;42,00;1,00;0,00;3,16;74,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;91,00;0,00;;;209,00;163,00;2,00;1,00;1,53;85,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;92,00;0,00;;;95,00;196,00;1,00;1,00;2,40;18,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;93,00;0,00;;;146,00;94,00;2,00;0,00;1,63;58,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;94,00;0,00;;;29,00;203,00;2,00;1,00;2,39;87,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;95,00;0,00;;;208,00;134,00;2,00;0,00;1,75;35,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;96,00;0,00;;;107,00;39,00;1,00;1,00;3,60;73,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;97,00;0,00;;;104,00;139,00;1,00;1,00;1,42;6,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;98,00;0,00;;;111,00;143,00;1,00;1,00;2,40;86,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;99,00;0,00;;;83,00;162,00;2,00;0,00;1,96;2,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;100,00;0,00;;;101,00;125,00;1,00;1,00;2,18;63,00;10,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;1,00;1,00;systems;pushed;0,00;0,00;1,00;1,00;1,63;44,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;2,00;1,00;campaign;choose;0,00;0,00;2,00;0,00;3,16;6,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;3,00;0,00;;;49,00;65,00;1,00;1,00;2,18;35,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;4,00;1,00;decision;became;0,00;0,00;1,00;1,00;1,96;86,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;5,00;1,00;attitude;state;0,00;0,00;1,00;0,00;2,29;9,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;6,00;0,00;;;100,00;22,00;2,00;1,00;2,51;82,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;7,00;1,00;necessarily;earlier;0,00;0,00;1,00;0,00;1,96;14,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;8,00;0,00;;;137,00;60,00;1,00;1,00;2,18;63,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;9,00;0,00;;;193,00;155,00;2,00;1,00;1,74;31,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;10,00;1,00;pointed;broad;0,00;0,00;1,00;1,00;1,52;28,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;11,00;0,00;;;185,00;175,00;1,00;1,00;1,85;54,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;12,00;0,00;;;123,00;198,00;1,00;1,00;1,85;69,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;13,00;0,00;;;27,00;103,00;1,00;1,00;1,96;24,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;14,00;0,00;;;10,00;71,00;2,00;1,00;2,07;91,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;15,00;0,00;;;47,00;21,00;2,00;1,00;1,63;88,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;16,00;1,00;built;tiny;0,00;0,00;2,00;1,00;1,85;7,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;17,00;1,00;orders;initial;0,00;0,00;2,00;0,00;1,19;61,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;18,00;0,00;;;174,00;16,00;1,00;1,00;1,64;19,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;19,00;1,00;combination;funds;0,00;0,00;2,00;1,00;2,07;25,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;20,00;1,00;visit;hard;0,00;0,00;1,00;0,00;1,30;67,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;21,00;1,00;ultimate;plans;0,00;0,00;2,00;1,00;1,08;43,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;22,00;1,00;period;universe;0,00;0,00;2,00;0,00;2,18;70,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;23,00;0,00;;;87,00;200,00;2,00;1,00;1,42;60,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;24,00;1,00;obvious;cases;0,00;0,00;2,00;1,00;1,64;73,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;25,00;0,00;;;126,00;84,00;2,00;0,00;3,82;30,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;26,00;0,00;;;140,00;147,00;1,00;1,00;2,61;79,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;27,00;0,00;;;4,00;138,00;2,00;1,00;2,19;80,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;28,00;1,00;holding;extreme;0,00;0,00;2,00;1,00;1,08;46,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;29,00;1,00;drew;mention;0,00;0,00;1,00;1,00;2,72;95,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;30,00;1,00;estate;largely;0,00;0,00;1,00;0,00;1,64;16,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;31,00;0,00;;;63,00;183,00;2,00;1,00;1,42;20,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;32,00;1,00;tell;avoid;0,00;0,00;1,00;1,00;1,41;84,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;33,00;0,00;;;173,00;46,00;1,00;1,00;3,05;57,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;34,00;1,00;different;flat;0,00;0,00;2,00;1,00;2,07;85,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;35,00;0,00;;;61,00;142,00;1,00;1,00;2,61;66,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;36,00;0,00;;;201,00;81,00;1,00;1,00;1,63;38,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;37,00;0,00;;;182,00;180,00;2,00;1,00;1,30;45,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;38,00;1,00;unusual;broke;0,00;0,00;2,00;1,00;1,63;94,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;39,00;1,00;experienced;everybody;0,00;0,00;1,00;1,00;1,41;10,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;40,00;0,00;;;113,00;127,00;2,00;1,00;2,40;64,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;41,00;0,00;;;99,00;135,00;1,00;1,00;2,84;92,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;42,00;0,00;;;115,00;41,00;1,00;1,00;2,29;27,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;43,00;1,00;firms;someone;0,00;0,00;1,00;1,00;2,61;33,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;44,00;0,00;;;14,00;68,00;1,00;1,00;2,18;96,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;45,00;1,00;fundamental;grow;0,00;0,00;2,00;1,00;1,96;12,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;46,00;1,00;attorney;cross;0,00;0,00;2,00;1,00;1,31;34,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;47,00;1,00;moral;advice;0,00;0,00;1,00;1,00;1,41;3,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;48,00;1,00;range;rooms;0,00;0,00;2,00;0,00;1,96;22,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;49,00;0,00;;;157,00;121,00;1,00;1,00;1,41;77,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;50,00;0,00;;;181,00;170,00;1,00;1,00;1,63;5,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;51,00;0,00;;;205,00;160,00;2,00;1,00;1,52;36,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;52,00;1,00;sick;signal;0,00;0,00;2,00;1,00;1,30;4,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;53,00;0,00;;;171,00;28,00;2,00;1,00;2,19;40,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;54,00;1,00;lack;ought;0,00;0,00;1,00;0,00;3,49;87,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;55,00;1,00;raise;basis;0,00;0,00;1,00;1,00;1,30;13,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;56,00;1,00;jobs;morning;0,00;0,00;1,00;1,00;1,52;17,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;57,00;1,00;bought;easily;0,00;0,00;2,00;0,00;1,30;1,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;58,00;0,00;;;98,00;62,00;1,00;1,00;1,31;41,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;59,00;1,00;cool;difficult;0,00;0,00;2,00;0,00;2,18;58,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;60,00;0,00;;;118,00;13,00;1,00;0,00;2,61;74,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;61,00;1,00;called;roads;0,00;0,00;1,00;1,00;1,52;8,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;62,00;0,00;;;207,00;192,00;2,00;1,00;1,41;76,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;63,00;1,00;sales;fort;0,00;0,00;2,00;1,00;1,19;59,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;64,00;1,00;judge;surface;0,00;0,00;1,00;1,00;1,30;65,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;65,00;1,00;police;runs;0,00;0,00;1,00;1,00;0,86;37,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;66,00;0,00;;;151,00;50,00;1,00;1,00;1,85;83,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;67,00;1,00;vision;spent;0,00;0,00;1,00;0,00;0,97;2,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;68,00;0,00;;;76,00;93,00;1,00;0,00;2,07;93,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;69,00;0,00;;;110,00;190,00;1,00;1,00;1,64;81,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;70,00;0,00;;;114,00;108,00;1,00;0,00;1,19;53,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;71,00;0,00;;;78,00;195,00;1,00;0,00;1,85;48,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;72,00;1,00;walking;looking;0,00;0,00;2,00;0,00;1,41;51,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;73,00;1,00;justice;regular;0,00;0,00;1,00;1,00;1,30;15,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;2,00;1,00;3,00;74,00;1,00;cutting;shop;0,00;0,00;2,00;1,00;1,74;62,00;8,00;;;;;;;;;;;;;;;;;;;;;;
