"","sub","condition","type","old","response","correct","time"
"3393",14805,"hehe","hetero",2,1,0,1750
"3394",14805,"hehe","hetero",1,1,1,1656
"3395",14805,"hehe","hetero",2,2,1,2813
"3396",14805,"hehe","hetero",2,2,1,875
"3397",14805,"hehe","hetero",1,1,1,1484
"3398",14805,"hehe","hetero",1,1,1,1266
"3399",14805,"hehe","hetero",1,1,1,2093
"3400",14805,"hehe","hetero",2,2,1,1969
"3401",14805,"hehe","hetero",1,1,1,1453
"3402",14805,"hehe","hetero",1,1,1,1188
"3403",14805,"hehe","hetero",1,1,1,3765
"3404",14805,"hehe","hetero",2,2,1,4218
"3405",14805,"hehe","hetero",1,1,1,2844
"3406",14805,"hehe","hetero",2,2,1,1688
"3407",14805,"hehe","hetero",1,1,1,1421
"3408",14805,"hehe","hetero",2,2,1,859
"3409",14805,"hehe","hetero",1,2,0,1719
"3410",14805,"hehe","hetero",2,2,1,1718
"3411",14805,"hehe","hetero",1,1,1,2578
"3412",14805,"hehe","hetero",2,2,1,921
"3413",14805,"hehe","hetero",2,2,1,1860
"3414",14805,"hehe","hetero",2,2,1,1000
"3415",14805,"hehe","hetero",1,1,1,1156
"3416",14805,"hehe","hetero",2,1,0,2344
"3417",14805,"hehe","hetero",1,1,1,1360
"3418",14805,"hehe","hetero",1,1,1,781
"3419",14805,"hehe","hetero",1,1,1,2094
"3420",14805,"hehe","hetero",1,1,1,1750
"3421",14805,"hehe","hetero",2,2,1,860
"3422",14805,"hehe","hetero",2,2,1,875
"3423",14805,"hehe","hetero",2,2,1,1860
"3424",14805,"hehe","hetero",1,1,1,1250
"3425",14805,"hehe","hetero",1,2,0,1906
"3426",14805,"hehe","hetero",2,2,1,657
"3427",14805,"hehe","hetero",1,1,1,1172
"3428",14805,"hehe","hetero",1,1,1,1594
"3429",14805,"hehe","hetero",2,1,0,1984
"3430",14805,"hehe","hetero",1,1,1,2485
"3431",14805,"hehe","hetero",2,2,1,1687
"3432",14805,"hehe","hetero",2,2,1,1969
"3433",14805,"hehe","hetero",1,1,1,1234
"3434",14805,"hehe","hetero",2,2,1,1141
"3435",14805,"hehe","hetero",2,1,0,1094
"3436",14805,"hehe","hetero",2,2,1,859
"3437",14805,"hehe","hetero",2,2,1,5109
"3438",14805,"hehe","hetero",1,1,1,1250
"3439",14805,"hehe","hetero",2,2,1,2781
"3440",14805,"hehe","hetero",1,1,1,4000
"3521",14876,"hehe","hetero",1,1,1,1500
"3522",14876,"hehe","hetero",1,1,1,1078
"3523",14876,"hehe","hetero",2,2,1,2657
"3524",14876,"hehe","hetero",1,1,1,985
"3525",14876,"hehe","hetero",2,2,1,875
"3526",14876,"hehe","hetero",1,1,1,797
"3527",14876,"hehe","hetero",1,1,1,2000
"3528",14876,"hehe","hetero",2,2,1,2281
"3529",14876,"hehe","hetero",1,1,1,1031
"3530",14876,"hehe","hetero",1,1,1,1265
"3531",14876,"hehe","hetero",1,1,1,2609
"3532",14876,"hehe","hetero",1,1,1,1109
"3533",14876,"hehe","hetero",1,1,1,1031
"3534",14876,"hehe","hetero",2,2,1,1203
"3535",14876,"hehe","hetero",1,1,1,938
"3536",14876,"hehe","hetero",2,2,1,1407
"3537",14876,"hehe","hetero",2,2,1,1125
"3538",14876,"hehe","hetero",1,1,1,1266
"3539",14876,"hehe","hetero",1,1,1,1328
"3540",14876,"hehe","hetero",1,1,1,1047
"3541",14876,"hehe","hetero",2,2,1,2485
"3542",14876,"hehe","hetero",2,2,1,1375
"3543",14876,"hehe","hetero",2,2,1,1172
"3544",14876,"hehe","hetero",1,1,1,2265
"3545",14876,"hehe","hetero",1,1,1,2844
"3546",14876,"hehe","hetero",1,1,1,1547
"3547",14876,"hehe","hetero",2,2,1,1109
"3548",14876,"hehe","hetero",2,2,1,1469
"3549",14876,"hehe","hetero",2,2,1,1375
"3550",14876,"hehe","hetero",1,1,1,1063
"3551",14876,"hehe","hetero",2,2,1,5203
"3552",14876,"hehe","hetero",1,1,1,812
"3553",14876,"hehe","hetero",1,1,1,1453
"3554",14876,"hehe","hetero",2,2,1,1234
"3555",14876,"hehe","hetero",2,2,1,1110
"3556",14876,"hehe","hetero",1,1,1,1110
"3557",14876,"hehe","hetero",2,2,1,2344
"3558",14876,"hehe","hetero",1,1,1,859
"3559",14876,"hehe","hetero",1,1,1,1468
"3560",14876,"hehe","hetero",1,1,1,922
"3561",14876,"hehe","hetero",2,2,1,1234
"3562",14876,"hehe","hetero",2,2,1,3453
"3563",14876,"hehe","hetero",1,1,1,1141
"3564",14876,"hehe","hetero",1,1,1,1500
"3565",14876,"hehe","hetero",1,1,1,5938
"3566",14876,"hehe","hetero",2,2,1,3234
"3567",14876,"hehe","hetero",2,2,1,2281
"3568",14876,"hehe","hetero",1,1,1,782
"3569",14876,"hehe","hetero",1,1,1,6453
"3570",14876,"hehe","hetero",1,1,1,1140
"3571",14876,"hehe","hetero",1,1,1,1062
"3572",14876,"hehe","hetero",1,1,1,1250
"3573",14876,"hehe","hetero",2,2,1,2610
"3574",14876,"hehe","hetero",1,1,1,4516
"3575",14876,"hehe","hetero",2,2,1,1265
"3576",14876,"hehe","hetero",1,1,1,1922
"3577",14876,"hehe","hetero",1,1,1,2860
"3578",14876,"hehe","hetero",1,2,0,9172
"3579",14876,"hehe","hetero",1,1,1,1375
"3580",14876,"hehe","hetero",2,2,1,1609
"3581",14876,"hehe","hetero",1,1,1,2016
"3582",14876,"hehe","hetero",1,1,1,1438
"3583",14876,"hehe","hetero",1,1,1,1625
"3584",14876,"hehe","hetero",2,2,1,1218
"3585",14876,"hehe","hetero",2,2,1,6328
"3586",14876,"hehe","hetero",1,1,1,1422
"3587",14876,"hehe","hetero",2,2,1,1172
"3588",14876,"hehe","hetero",2,2,1,797
"3589",14876,"hehe","hetero",1,1,1,2344
"3590",14876,"hehe","hetero",1,1,1,10657
"3591",14876,"hehe","hetero",2,2,1,6203
